date,time_block,purchase_bid_mw,sell_bid_mw,mcv_mw,scheduled_vol_mw,MCP,scrape_timestamp
20-02-2026,20:30-20:45,7369.0,10472.6,6063.6,6063.6,3677.39,2026-02-25 11:04:05
20-02-2026,20:45-21:00,7197.9,11384.9,5978.1,5978.1,3559.57,2026-02-25 11:04:05
20-02-2026,21:00-21:15,6251.6,13523.8,6020.8,6020.8,2839.34,2026-02-25 11:04:05
20-02-2026,21:15-21:30,5980.6,13758.3,5859.2,5859.2,2499.41,2026-02-25 11:04:05
20-02-2026,21:30-21:45,6390.5,13893.8,6024.3,6024.3,2981.6,2026-02-25 11:04:05
20-02-2026,21:45-22:00,6355.4,13742.4,5737.78,5737.78,3000.86,2026-02-25 11:04:05
20-02-2026,22:00-22:15,7237.7,13054.7,5510.2,5510.2,3233.6,2026-02-25 11:04:05
20-02-2026,22:15-22:30,7350.7,12726.7,5599.3,5599.3,3269.35,2026-02-25 11:04:05
20-02-2026,22:30-22:45,7569.3,13965.3,5705.9,5705.9,3190.85,2026-02-25 11:04:05
20-02-2026,22:45-23:00,7596.7,14609.7,5862.6,5862.6,3169.66,2026-02-25 11:04:05
20-02-2026,23:00-23:15,6967.8,15773.3,6099.49,6099.49,2800.98,2026-02-25 11:04:05
20-02-2026,23:15-23:30,7071.8,16536.1,6505.67,6505.67,2610.7,2026-02-25 11:04:05
20-02-2026,23:30-23:45,7121.7,16788.1,6529.62,6529.62,2650.28,2026-02-25 11:04:05
20-02-2026,23:45-24:00,7253.2,16662.2,6203.36,6203.36,2810.61,2026-02-25 11:04:05
21-02-2026,00:00-00:15,7326.6,16306.2,6071.34,6071.34,2920.46,2026-02-25 11:04:05
21-02-2026,00:15-00:30,8079.6,16264.0,6174.3,6174.3,3026.66,2026-02-25 11:04:05
21-02-2026,00:30-00:45,8009.4,15108.4,5792.8,5792.8,3190.19,2026-02-25 11:04:05
21-02-2026,00:45-01:00,7756.9,14858.0,5460.3,5460.3,3190.08,2026-02-25 11:04:05
21-02-2026,01:00-01:15,7511.8,14822.3,5282.2,5282.2,3159.98,2026-02-25 11:04:05
21-02-2026,01:15-01:30,7279.7,15053.0,5239.03,5239.03,3084.62,2026-02-25 11:04:05
21-02-2026,01:30-01:45,6855.2,14155.4,4955.6,4955.6,3190.67,2026-02-25 11:04:05
21-02-2026,01:45-02:00,6881.5,14452.9,4901.9,4901.9,3186.01,2026-02-25 11:04:05
21-02-2026,02:00-02:15,6759.1,15075.7,5132.4,5132.4,3043.16,2026-02-25 11:04:05
21-02-2026,02:15-02:30,6988.3,14974.9,5086.11,5086.11,3150.21,2026-02-25 11:04:05
21-02-2026,02:30-02:45,6717.8,14220.2,4737.1,4737.1,3159.9,2026-02-25 11:04:05
21-02-2026,02:45-03:00,6750.5,14073.2,4768.8,4768.8,3160.0,2026-02-25 11:04:05
21-02-2026,03:00-03:15,6869.0,13689.6,4873.1,4873.1,3269.13,2026-02-25 11:04:05
21-02-2026,03:15-03:30,7051.3,13583.7,5051.7,5051.7,3276.75,2026-02-25 11:04:05
21-02-2026,03:30-03:45,6918.6,12706.0,4967.91,4967.91,3470.21,2026-02-25 11:04:05
21-02-2026,03:45-04:00,7152.7,12300.7,4652.17,4652.17,3510.47,2026-02-25 11:04:05
21-02-2026,04:00-04:15,7000.3,12167.7,4722.05,4722.05,3510.78,2026-02-25 11:04:05
21-02-2026,04:15-04:30,7491.3,11978.4,4999.65,4999.65,3550.89,2026-02-25 11:04:05
21-02-2026,04:30-04:45,7295.5,11380.2,5359.9,5359.9,3677.79,2026-02-25 11:04:05
21-02-2026,04:45-05:00,7132.7,11119.0,5176.7,5176.7,3677.72,2026-02-25 11:04:05
21-02-2026,05:00-05:15,8293.1,10688.3,5901.98,5901.98,3800.76,2026-02-25 11:04:05
21-02-2026,05:15-05:30,8297.0,9623.2,5991.2,5991.2,4000.0,2026-02-25 11:04:05
21-02-2026,05:30-05:45,7792.9,8369.5,5327.7,5327.7,4000.31,2026-02-25 11:04:05
21-02-2026,05:45-06:00,7060.6,7969.7,5009.6,5009.6,3931.72,2026-02-25 11:04:05
21-02-2026,06:00-06:15,6859.8,9219.4,5458.2,5458.2,3716.63,2026-02-25 11:04:05
21-02-2026,06:15-06:30,7199.4,8642.2,5351.8,5351.8,4397.56,2026-02-25 11:04:05
21-02-2026,06:30-06:45,7267.4,7538.0,5286.5,5286.5,4501.62,2026-02-25 11:04:05
21-02-2026,06:45-07:00,8021.8,6211.6,5421.5,5421.5,5013.56,2026-02-25 11:04:05
21-02-2026,07:00-07:15,9299.6,4844.0,4843.98,4843.98,10000.0,2026-02-25 11:04:05
21-02-2026,07:15-07:30,11135.3,4556.9,4556.89,4556.89,10000.0,2026-02-25 11:04:05
21-02-2026,07:30-07:45,15617.7,5025.8,5025.8,5025.8,10000.0,2026-02-25 11:04:05
21-02-2026,07:45-08:00,14006.0,5496.9,5496.88,5496.88,10000.0,2026-02-25 11:04:05
21-02-2026,08:00-08:15,9380.9,6367.7,6361.4,6361.4,10000.0,2026-02-25 11:04:05
21-02-2026,08:15-08:30,8687.3,8370.7,6468.6,6468.6,5013.2,2026-02-25 11:04:05
21-02-2026,08:30-08:45,7516.4,8581.4,5670.31,5670.31,4000.22,2026-02-25 11:04:05
21-02-2026,08:45-09:00,7090.3,10118.1,5868.0,5868.0,3677.75,2026-02-25 11:04:05
21-02-2026,09:00-09:15,8857.4,9786.1,6901.2,6901.2,3828.54,2026-02-25 11:04:05
21-02-2026,09:15-09:30,8959.6,10605.2,7135.9,7135.9,3735.97,2026-02-25 11:04:05
21-02-2026,09:30-09:45,9351.5,12512.7,7717.29,7717.29,3500.43,2026-02-25 11:04:05
21-02-2026,09:45-10:00,9271.4,14220.5,8164.72,8164.72,3330.36,2026-02-25 11:04:05
21-02-2026,10:00-10:15,9513.2,15965.1,8328.2,8328.2,3190.78,2026-02-25 11:04:05
21-02-2026,10:15-10:30,8662.8,16021.1,7440.1,7440.1,3169.07,2026-02-25 11:04:05
21-02-2026,10:30-10:45,8752.5,17125.8,7409.7,7409.7,3159.56,2026-02-25 11:04:05
21-02-2026,10:45-11:00,8791.0,18178.0,7541.2,7541.2,3043.2,2026-02-25 11:04:05
21-02-2026,11:00-11:15,8638.6,19228.1,7553.93,7553.93,2839.85,2026-02-25 11:04:05
21-02-2026,11:15-11:30,10735.9,21844.1,9411.84,9411.84,3000.08,2026-02-25 11:04:05
21-02-2026,11:30-11:45,11668.3,22764.9,10349.1,10349.1,3026.33,2026-02-25 11:04:05
21-02-2026,11:45-12:00,11625.3,24011.7,10671.79,10671.79,2789.59,2026-02-25 11:04:05
21-02-2026,12:00-12:15,11226.2,25304.8,10669.41,10669.41,2370.46,2026-02-25 11:04:05
21-02-2026,12:15-12:30,10117.5,26106.0,9708.2,9708.2,2197.07,2026-02-25 11:04:05
21-02-2026,12:30-12:45,11184.9,26073.4,10665.0,10665.0,2287.18,2026-02-25 11:04:05
21-02-2026,12:45-13:00,11128.9,26921.0,10353.9,10353.9,2208.88,2026-02-25 11:04:05
21-02-2026,13:00-13:15,10011.0,26377.8,9435.35,9435.35,2150.48,2026-02-25 11:04:05
21-02-2026,13:15-13:30,9704.6,26628.0,9237.1,9237.1,2108.83,2026-02-25 11:04:05
21-02-2026,13:30-13:45,9840.5,26457.9,9616.2,9616.2,2127.9,2026-02-25 11:04:05
21-02-2026,13:45-14:00,9499.8,26006.8,9086.15,9086.15,2150.53,2026-02-25 11:04:05
21-02-2026,14:00-14:15,9128.6,23998.8,8668.9,8668.9,2197.81,2026-02-25 11:04:05
21-02-2026,14:15-14:30,9306.3,22909.6,8754.3,8754.3,2227.87,2026-02-25 11:04:05
21-02-2026,14:30-14:45,9460.0,21751.5,8884.3,8884.3,2335.9,2026-02-25 11:04:05
21-02-2026,14:45-15:00,9953.4,21008.4,9034.83,9034.83,2782.57,2026-02-25 11:04:05
21-02-2026,15:00-15:15,10833.6,19734.6,9844.83,9844.83,3010.21,2026-02-25 11:04:05
21-02-2026,15:15-15:30,10296.7,17771.4,9147.92,9147.92,3190.56,2026-02-25 11:04:05
21-02-2026,15:30-15:45,8772.9,15522.8,7680.16,7680.16,3109.57,2026-02-25 11:04:05
21-02-2026,15:45-16:00,9408.2,13473.5,7622.98,7622.98,3390.63,2026-02-25 11:04:05
21-02-2026,16:00-16:15,9732.9,13649.0,8023.17,8023.17,3390.49,2026-02-25 11:04:05
21-02-2026,16:15-16:30,8861.8,12890.8,7233.63,7233.63,3287.25,2026-02-25 11:04:05
21-02-2026,16:30-16:45,7608.0,11029.7,5870.27,5870.27,3390.18,2026-02-25 11:04:05
21-02-2026,16:45-17:00,7480.4,8964.1,5231.47,5231.47,3739.41,2026-02-25 11:04:05
21-02-2026,17:00-17:15,5954.9,8609.0,4687.66,4687.66,3417.54,2026-02-25 11:04:05
21-02-2026,17:15-17:30,6759.0,7764.8,5135.9,5135.9,3823.0,2026-02-25 11:04:05
21-02-2026,17:30-17:45,8267.9,6158.5,5136.32,5136.32,4999.85,2026-02-25 11:04:05
21-02-2026,17:45-18:00,9444.0,4846.6,4840.28,4840.28,10000.0,2026-02-25 11:04:05
